mouse_idx,acquisition_idx,doi_citations,location,protocole_id,probes,sex,animal_strain,age_days,date_of_birth,weight,slice_position,temperature,procedure_type,procedure_info,anesthesia,seringe_gage,flush,injection_type,mb_dilution,volume_mb_injected,FRC_um,saturation_percent,mean_track_length_frames,mean_velocity_mm_s,quality_grade
mouse_20,acquisition_3,,Mc Gill,Animal Use Protocol AUP-4532,L22-14,F,C57bl/6J,115,8/4/2024,"15,2",,,,,1.5-2% isoflurane,,,Bolus in the tail vein,1:50,4 uL/g,30.69,20.9,31.8,6.67,C
mouse_20,acquisition_4,,Mc Gill,Animal Use Protocol AUP-4532,L22-14,F,C57bl/6J,115,8/4/2024,"15,2",,,,,1.5-2% isoflurane,,,Bolus in the tail vein,1:50,4 uL/g,30.97,24.8,31.6,6.56,B
mouse_21,acquisition_1,,Mc Gill,Animal Use Protocol AUP-4532,L22-14,F,C57bl/6J,115,8/4/2024,"14,9",Cerebellum,,,,1.5-2% isoflurane,,,Bolus in the tail vein,1:50,4 uL/g,31.61,37.7,30.3,7.34,B
mouse_21,acquisition_2,,Mc Gill,Animal Use Protocol AUP-4532,L22-14,F,C57bl/6J,115,8/4/2024,"14,9",,,,,1.5-2% isoflurane,,,Bolus in the tail vein,1:50,4 uL/g,38.03,23.6,29.5,7.25,C
mouse_22,acquisition_1,,Mc Gill,Animal Use Protocol AUP-4532,L22-14,F,C57bl/6J,,unknown,"15,5",,,,,1.5-2% isoflurane,,,Bolus in the tail vein,1:50,4 uL/g,19.81,52.5,34.7,7.03,A
mouse_23,acquisition_1,,Mc Gill,Animal Use Protocol AUP-4532,L22-14,F,C57bl/6J,34,19/02/2023,"17,8",,,,,1.5-2% isoflurane,,,Bolus in the tail vein,1:50,4 uL/g,23.91,50.6,33.1,7.03,A
mouse_24,acquisition_1,,Mc Gill,Animal Use Protocol AUP-4532,L22-14,F,C57bl/6J,34,1/3/2023,"17,4",,,,,1.5-2% isoflurane,,,Bolus in the tail vein,1:50,4 uL/g,24.66,45.4,31.5,6.97,B
mouse_25,acquisition_1,,Mc Gill,Animal Use Protocol AUP-4532,L22-14,M,C57bl/6J,37,31/12/2023,18,,,,,1.5-2% isoflurane,,,Bolus in the tail vein,1:50,4 uL/g,26.46,47.6,34.8,6.74,A
mouse_26,acquisition_1,,Mc Gill,Animal Use Protocol AUP-4532,L22-14,F,C57bl/6J,34,31/12/2023,"13,4",,,,,1.5-2% isoflurane,,,Bolus in the tail vein,1:50,4 uL/g,26.17,42.2,36.7,6.9,A
mouse_27,acquisition_1,,Mc Gill,Animal Use Protocol AUP-4532,L22-14,F,C57bl/6J,34,31/12/2023,"13,5",,,,,1.5-2% isoflurane,,,Bolus in the tail vein,1:50,4 uL/g,26.17,39.8,38.4,7.13,A
mouse_28,acquisition_1,,Mc Gill,Animal Use Protocol AUP-4532,L22-14,F,C57bl/6J,29,7/1/2024,13,,,,,1.5-2% isoflurane,,,Bolus in the tail vein,1:50,4 uL/g,29.33,38.3,35.6,6.69,A
mouse_29,acquisition_1,,Mc Gill,Animal Use Protocol AUP-4532,L22-14,M,C57bl/6J,37,31/12/2023,"19,1",,,,,1.5-2% isoflurane,,,Bolus in the tail vein,1:50,4 uL/g,30.55,43.2,35.6,6.7,A
